"From","Line","Target","ExactExists","NameExists","FileName"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\final\UXM31_FINAL_ARGE_COMPILER.md","46","build/final_probe.diag.json","False","False","final_probe.diag.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\final\UXM31_FINAL_ARGE_COMPILER.md","46","build/final_probe.uir.json","False","False","final_probe.uir.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\uX_Minima_Kullanim Klavuzu.md","1328","build\program.exe","False","False","program.exe"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minima_full v31.md","4457","build\test05.exe","False","False","test05.exe"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\uX_Minima_Kullanim Klavuzu.md","96","build\test20.exe","False","False","test20.exe"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\yeni tasarim eksiklikler.md","2644","CHANGELOG.md","False","False","changelog.md"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ide\uxminima-vscode\.github\copilot-instructions.md","28","child_process.exe","False","False","child_process.exe"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6545","commands.json","False","False","commands.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minima_IDE_vscode.md","42","commands.ts","False","False","commands.ts"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\yeni tasarim eksiklikler.md","2645","CONTRIBUTING.md","False","False","contrıbutıng.md"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minima_IDE_vscode.md","52","dataView.ts","False","False","dataview.ts"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6555","error_codes.md","False","False","error_codes.md"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6546","errors.json","False","False","errors.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minima_full v31.md","4453","fbc uxm31_compiler_fb_full.bas -x uxm31_compiler_full.exe","False","False","fbc uxm31_compiler_fb_full.bas -x uxm31_compiler_full.exe"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minima_full v31.md","1532","fbc uxm31_full_tool_fb.bas -x uxm31_full_tool.exe","False","False","fbc uxm31_full_tool_fb.bas -x uxm31_full_tool.exe"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\yeni tasarim eksiklikler.md","2624","fbc uxm31_runtime_fb_full.bas build\program.obj -x build\program.exe","False","False","program.exe"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minima_full v31.md","4456","fbc uxm31_runtime_fb_full.bas build\test05.obj -x build\test05.exe","False","False","test05.exe"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minima_full v31.md","4757","fbc uxm31_runtime_fb_full.bas build\test20.obj -x build\test20.exe","False","False","test20.exe"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minima_full v31.md","3082","fbc uxm31_runtime_fb_full.bas program.obj -x program.exe","False","False","fbc uxm31_runtime_fb_full.bas program.obj -x program.exe"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minimax_ide_tasarimi_dusuncesi.md","136","fbc.exe","False","False","fbc.exe"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minima_IDE_vscode.md","51","fifoView.ts","False","False","fifoview.ts"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minima_full v31.md","1538","ide_run.json","False","False","ide_run.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\uX_Minima_Kullanim Klavuzu.md","1","KULLANMA_KILAVUZU.md","False","False","kullanma_kılavuzu.md"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minima_IDE_vscode.md","267","manda tasks.json","False","False","manda tasks.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6554","meta_reference.md","False","False","meta_reference.md"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6544","meta_services.json","False","False","meta_services.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\yeni tasarim eksiklikler.md","2623","nasm -f win64 build\program.asm -o build\program.obj","False","False","program.obj"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minima_full v31.md","4455","nasm -f win64 build\test05.asm -o build\test05.obj","False","False","test05.obj"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minima_full v31.md","4756","nasm -f win64 build\test20.asm -o build\test20.obj","False","False","test20.obj"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\uX_Minima_Kullanim Klavuzu.md","82","NASM ile .obj","False","False","nasm ile .obj"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minimax_ide_tasarimi_dusuncesi.md","135","nasm.exe","False","False","nasm.exe"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6547","patterns.json","False","False","patterns.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6553","pck.md","False","False","pck.md"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","5968","program.asm","False","False","program.asm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6625","program.asmmap.json","False","False","program.asmmap.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","5964","program.compile.json","False","False","program.compile.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6643","program.final_state.json","False","False","program.final_state.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","5967","program.memory_data.json","False","False","program.memory_data.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","5966","program.memory_stack.json","False","False","program.memory_stack.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","5965","program.memory_tape.json","False","False","program.memory_tape.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6605","program.uir.json","False","False","program.uir.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6661","program.uxm","False","False","program.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minimax_ide_tasarimi_dusuncesi.md","219","program.uxm.map.json","False","False","program.uxm.map.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\yeni tasarim eksiklikler.md","2631","run_trace.bat program.uxm","False","False","run_trace.bat program.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minima_IDE_vscode.md","50","stackView.ts","False","False","stackview.ts"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","624","test_001_print_A.uxm","False","False","test_001_print_a.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6096","test_002_loop_star.uxm","False","False","test_002_loop_star.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","625","test_020_stack_lifo.uxm","False","False","test_020_stack_lifo.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6098","test_020_T_plus_1.uxm","False","False","test_020_t_plus_1.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6099","test_021_T_abs.uxm","False","False","test_021_t_abs.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6100","test_022_D_abs.uxm","False","False","test_022_d_abs.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6102","test_040_lifo.uxm","False","False","test_040_lifo.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","626","test_040_unsigned_gt.uxm","False","False","test_040_unsigned_gt.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","627","test_041_signed_gt.uxm","False","False","test_041_signed_gt.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6103","test_041_stack_underflow.uxm","False","False","test_041_stack_underflow.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","628","test_060_carry_add_byte.uxm","False","False","test_060_carry_add_byte.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6105","test_060_zero_flag.uxm","False","False","test_060_zero_flag.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6106","test_061_carry_flag.uxm","False","False","test_061_carry_flag.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6107","test_062_overflow_flag.uxm","False","False","test_062_overflow_flag.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","629","test_080_little_endian_word.uxm","False","False","test_080_little_endian_word.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6109","test_080_little_word.uxm","False","False","test_080_little_word.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","630","test_081_big_endian_word.uxm","False","False","test_081_big_endian_word.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6110","test_081_big_word.uxm","False","False","test_081_big_word.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6132","test_100_add.expect.json","False","False","test_100_add.expect.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6112","test_100_add.uxm","False","False","test_100_add.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","631","test_100_meta_add.uxm","False","False","test_100_meta_add.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6113","test_101_mul.uxm","False","False","test_101_mul.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6114","test_102_div_zero.uxm","False","False","test_102_div_zero.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","632","test_120_branch_forward.uxm","False","False","test_120_branch_forward.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6117","test_121_branch_back.uxm","False","False","test_121_branch_back.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6118","test_122_flag_branch.uxm","False","False","test_122_flag_branch.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","633","test_140_address_T_plus_1.uxm","False","False","test_140_address_t_plus_1.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6120","test_140_repeat_opt.uxm","False","False","test_140_repeat_opt.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6121","test_141_branch_pattern_boundary.uxm","False","False","test_141_branch_pattern_boundary.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6123","test_200_indirect.uxm","False","False","test_200_indirect.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\tests\UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md","6557","test_catalog.md","False","False","test_catalog.md"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\uxm_V3.1_Full_Final\yeni tasarim eksiklikler.md","2590","test_fp04_div_int.uxm","False","False","test_fp04_div_int.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\uxm_V3.1_Full_Final\yeni tasarim eksiklikler.md","2591","test_fp06_add_dec_string.uxm","False","False","test_fp06_add_dec_string.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\uxm_V3.1_Full_Final\yeni tasarim eksiklikler.md","2150","tests_fp\test_fp01_add_int.uxm","False","False","test_fp01_add_int.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\uxm_V3.1_Full_Final\yeni tasarim eksiklikler.md","2176","tests_fp\test_fp02_sub_int.uxm","False","False","test_fp02_sub_int.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\yeni tasarim eksiklikler.md","2201","tests_fp\test_fp03_mul_int.uxm","False","False","test_fp03_mul_int.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\uxm_V3.1_Full_Final\yeni tasarim eksiklikler.md","2226","tests_fp\test_fp04_div_int.uxm","False","False","test_fp04_div_int.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\yeni tasarim eksiklikler.md","2251","tests_fp\test_fp05_from_string.uxm","False","False","test_fp05_from_string.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\yeni tasarim eksiklikler.md","2266","tests_fp\test_fp06_add_dec_string.uxm","False","False","test_fp06_add_dec_string.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minima_IDE_vscode.md","49","traceView.ts","False","False","traceview.ts"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\FILE_MANIFEST.txt","54","U0131m Belgesi.md","False","False","u0131m belgesi.md"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\uxm_V3.1_Full_Final\yeni tasarim eksiklikler.md","463","ux_fp_v1.uxm","False","False","ux_fp_v1.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\uxm_V3.1_Full_Final\yeni tasarim eksiklikler.md","2361","uxm31_compiler_fb_full.bas","False","False","uxm31_compiler_fb_full.bas"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minima_full v31.md","3048","uxm31_compiler_fb_full.exe kaynak.uxm cikis.asm","False","False","uxm31_compiler_fb_full.exe kaynak.uxm cikis.asm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minima_full v31.md","3049","uxm31_compiler_fb_full.exe kaynak.uxm cikis.asm cikis.uir.json cikis.opt.json","False","False","uxm31_compiler_fb_full.exe kaynak.uxm cikis.asm cikis.uir.json cikis.opt.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\final\UXM31_FINAL_ARGE_COMPILER.md","11","uxm31_compiler_final.exe --ide-in request.json --ide-out response.json","False","False","uxm31_compiler_final.exe --ide-in request.json --ide-out response.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\final\UXM31_FINAL_ARGE_COMPILER.md","10","uxm31_compiler_final.exe --input program.uxm","False","False","uxm31_compiler_final.exe --input program.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\final\UXM31_FINAL_ARGE_COMPILER.md","8","uxm31_compiler_final.exe --input program.uxm --mode compile --asm build\program.asm --uir build\program.uir.json --diag build\program.diag.json","False","False","program.diag.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ide\uxminima-vscode\README.md","29","uxm31_compiler_full.exe","False","False","uxm31_compiler_full.exe"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\uX_Minima_Kullanim Klavuzu.md","1325","uxm31_compiler_full.exe program.uxm build\program.asm build\program.uir.json build\program.opt.json","False","False","program.opt.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\uX_Minima_Kullanim Klavuzu.md","1047","uxm31_compiler_full.exe tests_full\test20_fifo_char_order.uxm build\test20.asm build\test20.uir.json build\test20.opt.json","False","False","test20.opt.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\ux_minima_full v31.md","4454","uxm31_compiler_full.exe tests\test05_meta_add.uxm build\test05.asm build\test05.uir.json build\test05.opt.json","False","False","test05.opt.json"
