ID,Name,Belge_Durumu,Kod_Genel,Runtime_Host,Final_Interpreter,Full_Tool,VSCode_Runtime,VSCode_Help,Test_Kaniti,Not,Tests_Present,EXPECT_OUTPUT
"107","TAPE BLOCK CLEAR","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test50_tape_block_copy_clear.uxm","","YES","NO"
"108","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"109","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"110","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"111","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"112","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"113","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"114","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"115","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"116","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"117","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"118","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"119","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"120","UNSIGNED MODE","VAR","VAR","VAR","VAR","VAR","VAR","VAR","","","NO","NO"
