"ID","Name","RuntimeHost","FinalInterpreter","FullTool","VSCodeRuntime","VarCount","Parity","TestEvidence"
"28","NEG","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"29","CMP","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"30","RND_RANGE","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"31","RND_SEED","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"32","RND_FLOAT01","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"33","DIV_UNSIGNED","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"34","DIV_SIGNED","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"35","MOD_UNSIGNED","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"36","MOD_SIGNED","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"37","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"38","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"39","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"40","SIN","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test01_print_A.uxm; tests/test10_sin_scaled.uxm"
"41","COS","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"42","TAN","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"43","HYPOT","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test11_hypotenuse.uxm"
"44","ASIN","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"45","ACOS","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"46","SQRT","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"47","SINH","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"48","COSH","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"49","TANH","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"50","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"51","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"52","ASINH","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"53","ACOSH","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"54","ATANH","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"55","LOG","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"56","EXP","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"57","POW","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"58","DEG_TO_RAD","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"59","RAD_TO_DEG","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"60","PRINT ARG2","VAR","VAR","VAR","VAR","4/4","FULL",""
"61","PRINT RESULT","VAR","VAR","VAR","VAR","4/4","FULL","tests/test01_print_A.uxm; tests/test05_meta_add.uxm; tests/test06_dynamic_meta_mul.uxm; tests/test09_div_mod.uxm; tests/test10_sin_scaled.uxm"
"62","PRINT STACK POP","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test51_meta_print_stack_pop.uxm"
"63","READ DECIMAL","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"64","PRINT SPACE","VAR","VAR","VAR","VAR","4/4","FULL",""
"65","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"66","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"67","PRINT HEX","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test52_meta_print_hex.uxm"
"68","PRINT BIN","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test53_meta_print_bin.uxm"
"69","PRINT CHAR/RAW","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test54_meta_print_char_raw.uxm"
"70","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"71","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"72","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"73","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"74","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"75","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"76","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"77","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"78","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"79","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"80","SET POINTER","VAR","VAR","VAR","VAR","4/4","FULL","tests/test18_pointer_service.uxm"
"81","ADD POINTER","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test45_pointer_meta_extended.uxm"
"82","GET POINTER","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test45_pointer_meta_extended.uxm"
"83","POINTER VALID","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test45_pointer_meta_extended.uxm"
"84","TAPE CELLS","VAR","VAR","VAR","VAR","4/4","FULL","tests/test32_wild_layout_change.uxm"
"85","DATA CELLS","VAR","VAR","VAR","VAR","4/4","FULL","tests/test45_pointer_meta_extended.uxm"
"86","STACK CELLS","VAR","VAR","VAR","VAR","4/4","FULL","tests/test45_pointer_meta_extended.uxm"
"87","CELL BITS","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test45_pointer_meta_extended.uxm"
"88","CELL BYTES","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test45_pointer_meta_extended.uxm"
"89","PRINT LAYOUT","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"90","FIFO PUSH","VAR","VAR","VAR","VAR","4/4","FULL","tests/test20_fifo_char_order.uxm; tests/test21_fifo_count_peek.uxm"
"91","FIFO POP","VAR","VAR","VAR","VAR","4/4","FULL","tests/test20_fifo_char_order.uxm"
"92","FIFO PEEK","VAR","VAR","VAR","VAR","4/4","FULL","tests/test21_fifo_count_peek.uxm"
"93","FIFO COUNT","VAR","VAR","VAR","VAR","4/4","FULL","tests/test21_fifo_count_peek.uxm"
"94","FIFO CLEAR","VAR","VAR","VAR","VAR","4/4","FULL","tests/test46_fifo_clear.uxm"
"95","DATA READ","VAR","VAR","VAR","VAR","4/4","FULL","tests/test22_data_write_read_char.uxm; tests/test24_data_block_copy_print.uxm; tests/test25_data_sort_ascending.uxm; tests/test34_data_block_clear.uxm"
"96","DATA WRITE","VAR","VAR","VAR","VAR","4/4","FULL","tests/test22_data_write_read_char.uxm; tests/test25_data_sort_ascending.uxm"
"97","DATA DIGIT","VAR","VAR","VAR","VAR","4/4","FULL","tests/test23_data_digit_ascii_to_number.uxm"
"98","DATA BLOCK COPY","VAR","VAR","VAR","VAR","4/4","FULL","tests/test24_data_block_copy_print.uxm"
"99","DATA BLOCK CLEAR","VAR","VAR","VAR","VAR","4/4","FULL","tests/test34_data_block_clear.uxm"
"100","TAPE SORT ASC","VAR","VAR","VAR","VAR","4/4","FULL","tests/test47_tape_sort_ascending.uxm"
"101","TAPE SORT DESC","VAR","VAR","VAR","VAR","4/4","FULL","tests/test26_tape_sort_descending_chars.uxm"
"102","DATA SORT ASC","VAR","VAR","VAR","VAR","4/4","FULL","tests/test25_data_sort_ascending.uxm"
"103","DATA SORT DESC","VAR","VAR","VAR","VAR","4/4","FULL","tests/test48_data_sort_descending.uxm"
"104","TAPE SEARCH","VAR","VAR","VAR","VAR","4/4","FULL","tests/test27_tape_linear_search.uxm"
"105","DATA SEARCH","VAR","VAR","VAR","VAR","4/4","FULL","tests/test49_data_linear_search.uxm"
"106","TAPE BLOCK COPY","VAR","VAR","VAR","VAR","4/4","FULL","tests/test50_tape_block_copy_clear.uxm"
"107","TAPE BLOCK CLEAR","VAR","VAR","VAR","VAR","4/4","FULL","tests/test50_tape_block_copy_clear.uxm"
"108","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"109","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"110","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"111","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"112","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"113","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"114","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"115","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"116","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"117","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"118","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"119","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"120","UNSIGNED MODE","VAR","VAR","VAR","VAR","4/4","FULL",""
"121","SIGNED MODE","VAR","VAR","VAR","VAR","4/4","FULL","tests/test12_signed_mode.uxm"
"122","SIGNED QUERY","VAR","VAR","VAR","VAR","4/4","FULL",""
"123","LITTLE ENDIAN","VAR","VAR","VAR","VAR","4/4","FULL",""
"124","BIG ENDIAN","VAR","VAR","VAR","VAR","4/4","FULL",""
"125","ENDIAN QUERY","VAR","VAR","VAR","VAR","4/4","FULL",""
"126","FLAGS QUERY","VAR","VAR","VAR","VAR","4/4","FULL",""
"127","WILD LAYOUT CHANGE","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test31_safe_mode_wild_denied.uxm; tests/test32_wild_layout_change.uxm"
"128","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE","tests/test07_macro.uxm; tests/test29_nested_macro_call.uxm"
"129","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE","tests/test29_nested_macro_call.uxm"
"130","Reserved/User/Planned","VAR","YOK","VAR","YOK","2/4","PARTIAL",""
"131","Reserved/User/Planned","VAR","YOK","VAR","YOK","2/4","PARTIAL",""
"132","Reserved/User/Planned","VAR","YOK","VAR","YOK","2/4","PARTIAL",""
"133","Reserved/User/Planned","VAR","YOK","VAR","YOK","2/4","PARTIAL",""
"134","Reserved/User/Planned","VAR","YOK","VAR","YOK","2/4","PARTIAL",""
"135","Reserved/User/Planned","VAR","YOK","VAR","YOK","2/4","PARTIAL",""
"136","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"137","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"138","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"139","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"140","Reserved/User/Planned","VAR","YOK","VAR","YOK","2/4","PARTIAL",""
"141","Reserved/User/Planned","VAR","YOK","VAR","YOK","2/4","PARTIAL",""
"142","Reserved/User/Planned","VAR","YOK","VAR","YOK","2/4","PARTIAL",""
"143","Reserved/User/Planned","VAR","YOK","VAR","YOK","2/4","PARTIAL",""
"144","Reserved/User/Planned","VAR","YOK","VAR","YOK","2/4","PARTIAL",""
"145","Reserved/User/Planned","VAR","YOK","VAR","YOK","2/4","PARTIAL",""
"146","Reserved/User/Planned","VAR","YOK","VAR","YOK","2/4","PARTIAL",""
"147","Reserved/User/Planned","VAR","YOK","VAR","YOK","2/4","PARTIAL",""
"148","Reserved/User/Planned","VAR","YOK","VAR","YOK","2/4","PARTIAL",""
"149","Reserved/User/Planned","VAR","YOK","VAR","YOK","2/4","PARTIAL",""
"150","Reserved/User/Planned","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"151","Reserved/User/Planned","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"152","Reserved/User/Planned","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"153","Reserved/User/Planned","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test17_endian_word_split.uxm"
"154","Reserved/User/Planned","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"155","Reserved/User/Planned","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"156","Reserved/User/Planned","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"157","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"158","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"159","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"160","MAT_INIT","VAR","VAR","VAR","VAR","4/4","FULL","tests_matrix/test_matrix01_init_set_print.uxm"
"161","MAT_CLEAR","VAR","VAR","VAR","VAR","4/4","FULL",""
"162","MAT_SET","VAR","VAR","VAR","VAR","4/4","FULL","tests_matrix/test_matrix01_init_set_print.uxm"
"163","MAT_GET","VAR","VAR","VAR","VAR","4/4","FULL",""
"164","MAT_FILL","VAR","VAR","VAR","VAR","4/4","FULL",""
"165","MAT_COPY","VAR","VAR","VAR","VAR","4/4","FULL",""
"166","MAT_PRINT","VAR","VAR","VAR","VAR","4/4","FULL","tests_matrix/test_matrix01_init_set_print.uxm; tests_matrix/test_matrix02_add_2x2.uxm; tests_matrix/test_matrix03_mul_2x2.uxm; tests_matrix/test_matrix04_identity_trace_det2.uxm; tests_matrix/_tmp_det_debug.uxm"
"167","MAT_ADD","VAR","VAR","VAR","VAR","4/4","FULL","tests_matrix/test_matrix02_add_2x2.uxm"
"168","MAT_SUB","VAR","VAR","VAR","VAR","4/4","FULL",""
"169","MAT_SCALAR_MUL","VAR","VAR","VAR","VAR","4/4","FULL",""
"170","MAT_MUL","VAR","VAR","VAR","VAR","4/4","FULL","tests_matrix/test_matrix03_mul_2x2.uxm"
"171","MAT_TRANSPOSE_COPY","VAR","VAR","VAR","VAR","4/4","FULL",""
"172","MAT_IDENTITY","VAR","VAR","VAR","VAR","4/4","FULL","tests_matrix/test_matrix04_identity_trace_det2.uxm"
"173","MAT_TRACE","VAR","VAR","VAR","VAR","4/4","FULL","tests_matrix/test_matrix04_identity_trace_det2.uxm"
"174","MAT_SHAPE","VAR","VAR","VAR","VAR","4/4","FULL",""
"175","MAT_DET2","VAR","VAR","VAR","VAR","4/4","FULL","tests_matrix/test_matrix04_identity_trace_det2.uxm; tests_matrix/_tmp_det_debug.uxm"
"176","MAT_PRINT_RAW","VAR","VAR","VAR","VAR","4/4","FULL",""
"177","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"178","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"179","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"180","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"181","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"182","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"183","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"184","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"185","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE","tests/test16_data_digit.uxm"
"186","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"187","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"188","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"189","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"190","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"191","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"192","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"193","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"194","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"195","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"196","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"197","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"198","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"199","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"200","FP_INIT16","VAR","VAR","VAR","VAR","4/4","FULL","tests_fp/test_fp01_add_int.uxm; tests_fp/test_fp02_sub_int.uxm; tests_fp/test_fp03_mul_int.uxm; tests_fp/test_fp04_div_int.uxm; tests_fp/test_fp05_from_string.uxm"
"201","FP_INIT32","VAR","VAR","VAR","VAR","4/4","FULL",""
"202","FP_ZERO","VAR","VAR","VAR","VAR","4/4","FULL",""
"203","FP_COPY","VAR","VAR","VAR","VAR","4/4","FULL",""
"204","FP_NORMALIZE","VAR","VAR","VAR","VAR","4/4","FULL",""
"205","FP_TO_INT_RESULT","VAR","VAR","VAR","VAR","4/4","FULL","tests_fp/test_fp07_int_zero_sign_abs.uxm"
"206","FP_IS_ZERO","VAR","VAR","VAR","VAR","4/4","FULL","tests_fp/test_fp07_int_zero_sign_abs.uxm"
"207","FP_SIGNUM","VAR","VAR","VAR","VAR","4/4","FULL","tests_fp/test_fp07_int_zero_sign_abs.uxm"
"208","FP_ABS_INT_RESULT","VAR","VAR","VAR","VAR","4/4","FULL","tests_fp/test_fp07_int_zero_sign_abs.uxm"
"209","FP_DEBUG_PRINT","VAR","VAR","VAR","VAR","4/4","FULL",""
"210","FP_ADD","VAR","VAR","VAR","VAR","4/4","FULL","tests_fp/test_fp01_add_int.uxm; tests_fp/test_fp06_add_dec_string.uxm"
"211","FP_SUB","VAR","VAR","VAR","VAR","4/4","FULL","tests_fp/test_fp02_sub_int.uxm"
"212","FP_MUL","VAR","VAR","VAR","VAR","4/4","FULL","tests_fp/test_fp03_mul_int.uxm"
"213","FP_DIV","VAR","VAR","VAR","VAR","4/4","FULL","tests_fp/test_fp04_div_int.uxm"
"214","FP_COMPARE","VAR","VAR","VAR","VAR","4/4","FULL",""
"215","FP_ABS","VAR","VAR","VAR","VAR","4/4","FULL",""
"216","FP_NEG","VAR","VAR","VAR","VAR","4/4","FULL",""
"217","FP_ROUND16","VAR","VAR","VAR","VAR","4/4","FULL",""
"218","FP_ROUND32","VAR","VAR","VAR","VAR","4/4","FULL",""
"219","FP_TRUNC","VAR","VAR","VAR","VAR","4/4","FULL",""
"220","FP_FROM_INT","VAR","VAR","VAR","VAR","4/4","FULL","tests_fp/test_fp01_add_int.uxm; tests_fp/test_fp02_sub_int.uxm; tests_fp/test_fp03_mul_int.uxm; tests_fp/test_fp04_div_int.uxm"
"221","FP_FROM_DEC_STRING","VAR","VAR","VAR","VAR","4/4","FULL","tests_fp/test_fp05_from_string.uxm; tests_fp/test_fp06_add_dec_string.uxm"
"222","FP_TO_DEC_STRING","VAR","VAR","VAR","VAR","4/4","FULL",""
"223","FP_PRINT_DEC","VAR","VAR","VAR","VAR","4/4","FULL","tests_fp/test_fp01_add_int.uxm; tests_fp/test_fp02_sub_int.uxm; tests_fp/test_fp03_mul_int.uxm; tests_fp/test_fp04_div_int.uxm; tests_fp/test_fp05_from_string.uxm"
"224","FP_SCALE10","VAR","VAR","VAR","VAR","4/4","FULL",""
"225","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"226","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"227","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"228","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"229","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"230","FP_RESERVED/BRIDGE","VAR","VAR","VAR","VAR","4/4","FULL",""
"231","FP_RESERVED/BRIDGE","VAR","VAR","VAR","VAR","4/4","FULL",""
"232","FP_RESERVED/BRIDGE","VAR","VAR","VAR","VAR","4/4","FULL",""
"233","FP_RESERVED/BRIDGE","VAR","VAR","VAR","VAR","4/4","FULL",""
"234","FP_RESERVED/BRIDGE","VAR","VAR","VAR","VAR","4/4","FULL",""
"235","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"236","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"237","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"238","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"239","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"240","POLY_DERIV","VAR","VAR","VAR","VAR","4/4","FULL","math_extensions/tests_math/test_math01_poly_deriv_arge.uxm"
"241","POLY_INTEGRAL","VAR","VAR","VAR","VAR","4/4","FULL","math_extensions/tests_math/test_math02_poly_integral_arge.uxm"
"242","POLY_EVAL","VAR","VAR","VAR","VAR","4/4","FULL","math_extensions/tests_math/test_math03_poly_eval_arge.uxm"
"243","POLY_PRINT","VAR","VAR","VAR","VAR","4/4","FULL","math_extensions/tests_math/test_math01_poly_deriv_arge.uxm; math_extensions/tests_math/test_math02_poly_integral_arge.uxm"
"244","POLY_CLEAR","VAR","VAR","VAR","VAR","4/4","FULL",""
"245","Reserved/User/Planned","YOK","YOK","YOK","VAR","1/4","PARTIAL",""
"246","Reserved/User/Planned","YOK","YOK","YOK","VAR","1/4","PARTIAL",""
"247","Reserved/User/Planned","YOK","YOK","YOK","VAR","1/4","PARTIAL",""
"248","Reserved/User/Planned","YOK","YOK","YOK","VAR","1/4","PARTIAL",""
"249","Reserved/User/Planned","YOK","YOK","YOK","VAR","1/4","PARTIAL",""
"250","EXPR_EVAL","VAR","VAR","VAR","VAR","4/4","FULL","math_extensions/tests_math/test_math04_expr_rpn_eval.uxm"
"251","NUM_DERIV","VAR","VAR","VAR","VAR","4/4","FULL","math_extensions/tests_math/test_math05_num_deriv.uxm"
"252","NUM_INTEGRAL_TRAP","VAR","VAR","VAR","VAR","4/4","FULL","math_extensions/tests_math/test_math06_integral_trap.uxm"
"253","NUM_INTEGRAL_SIMPSON","VAR","VAR","VAR","VAR","4/4","FULL","math_extensions/tests_math/test_math07_integral_simpson.uxm"
"254","EXPR_PRINT_RPN","VAR","VAR","VAR","VAR","4/4","FULL",""
"255","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"260","UX-STAT reserved","YOK","YOK","YOK","YOK","0/4","NONE",""
"261","UX-STAT reserved","YOK","YOK","YOK","YOK","0/4","NONE",""
"262","UX-STAT reserved","YOK","YOK","YOK","YOK","0/4","NONE",""
"263","UX-STAT reserved","YOK","YOK","YOK","YOK","0/4","NONE",""
