Path,Extension,Role,Bytes,Lines,ProposedTarget,Action
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/four_hat_parity_full.csv,.csv,old_matrix_or_report,32283,399,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/four_hat_parity_full.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/git_history.csv,.csv,old_matrix_or_report,8136,27,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/git_history.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/gitmv_esitleme_manifest.csv,.csv,old_matrix_or_report,2070,9,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/gitmv_esitleme_manifest.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/high_service_gaps.csv,.csv,old_matrix_or_report,5777,64,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/high_service_gaps.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/matrix_file_issues.csv,.csv,old_matrix_or_report,923,8,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/matrix_file_issues.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/move_manifest.csv,.csv,old_matrix_or_report,3625,18,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/move_manifest.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/plan_gaps.csv,.csv,old_matrix_or_report,1714,9,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/plan_gaps.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/sprint1_check.csv,.csv,old_matrix_or_report,564,8,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/sprint1_check.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/test_inventory.csv,.csv,old_matrix_or_report,1314,7,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/test_inventory.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/tracking_files.csv,.csv,old_matrix_or_report,1315,10,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/tracking_files.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_Guncel_Kod_Gercekligi_Matrisleri.xlsx,.xlsx,old_matrix_or_report,41591,,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_Guncel_Kod_Gercekligi_Matrisleri.xlsx,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_Guncellenmis_Plan_ve_Manifest.md,.md,old_information_document,5925,153,uxm/legacy/docs_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_Guncellenmis_Plan_ve_Manifest.md,MOVE_LEGACY_DOC
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/UXM_KOD_BELGE_MATRIS_RAPORU.md,.md,old_information_document,9909,134,uxm/legacy/docs_old/UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/UXM_KOD_BELGE_MATRIS_RAPORU.md,MOVE_LEGACY_DOC
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/UXM_V31_Kod_Belge_Izleme_Matrisi.xlsx,.xlsx,old_matrix_or_report,56212,,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/UXM_V31_Kod_Belge_Izleme_Matrisi.xlsx,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/UXM_V31_tests_meta_50_120_expect_report.csv,.csv,old_matrix_or_report,2636,52,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/UXM_V31_tests_meta_50_120_expect_report.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/adresleme_matrisi.csv,.csv,old_matrix_or_report,1613,18,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/adresleme_matrisi.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/dosya_haritasi.csv,.csv,old_matrix_or_report,29184,411,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/dosya_haritasi.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/duplicate_authority_selection.csv,.csv,old_matrix_or_report,1698,9,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/duplicate_authority_selection.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/duplicate_hash_diffs.csv,.csv,old_matrix_or_report,1923,10,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/duplicate_hash_diffs.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/extension_matrisi.csv,.csv,old_matrix_or_report,846,9,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/extension_matrisi.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/four_hat_parity.csv,.csv,old_matrix_or_report,897,10,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/four_hat_parity.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/four_hat_parity_full.csv,.csv,old_matrix_or_report,32283,399,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/four_hat_parity_full.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/gitmv_esitleme_manifest.csv,.csv,old_matrix_or_report,2070,9,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/gitmv_esitleme_manifest.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/high_service_gaps.csv,.csv,old_matrix_or_report,5777,64,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/high_service_gaps.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/komut_matrisi.csv,.csv,old_matrix_or_report,3543,39,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/komut_matrisi.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/meta_servis_matrisi.csv,.csv,old_matrix_or_report,44578,399,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/meta_servis_matrisi.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/pragma_matrisi.csv,.csv,old_matrix_or_report,2180,18,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/pragma_matrisi.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/test_matrisi.csv,.csv,old_matrix_or_report,4366,59,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/test_matrisi.csv,MOVE_LEGACY_MATRIX
UXM_V31_meta_servis_cross_50-120.csv,.csv,old_matrix_or_report,7897,72,uxm/legacy/matrices_old/UXM_V31_meta_servis_cross_50-120.csv,MOVE_LEGACY_MATRIX
UXM_V31_missing_expect_run.log,.log,other,2769,,uxm/legacy/other_old/UXM_V31_missing_expect_run.log,MOVE_LEGACY_OTHER
UXM_V31_tests_meta_50_120_expect_report.csv,.csv,old_matrix_or_report,2636,52,uxm/legacy/matrices_old/UXM_V31_tests_meta_50_120_expect_report.csv,MOVE_LEGACY_MATRIX
adresleme Modlari ve ogretici eklenecekler.md,.md,old_information_document,52840,3707,uxm/legacy/docs_old/adresleme Modlari ve ogretici eklenecekler.md,MOVE_LEGACY_DOC
build/README.md,.md,old_information_document,644,22,uxm/legacy/docs_old/build/README.md,MOVE_LEGACY_DOC
build/_datt_force_test.asm,.asm,build_artifact_or_log,3840,,uxm/build/asm/archive/_datt_force_test.asm,MOVE_ARTIFACT
build/_datt_force_test.uxm,.uxm,other,45,4,uxm/legacy/other_old/build/_datt_force_test.uxm,MOVE_LEGACY_OTHER
build/_tmp_det_debug.asm,.asm,build_artifact_or_log,8549,,uxm/build/asm/archive/_tmp_det_debug.asm,MOVE_ARTIFACT
build/_tmp_det_debug.o,.o,build_artifact_or_log,3496,,uxm/build/obj/archive/_tmp_det_debug.o,MOVE_ARTIFACT
build/_tmp_det_debug.out.txt,.txt,build_artifact_or_log,236,8,uxm/build/logs/archive/_tmp_det_debug.out.txt,MOVE_ARTIFACT
build/compare_expected_only.ps1,.ps1,build_or_runner_script,2202,58,uxm/scripts/compare_expected_only.ps1,MOVE_SCRIPT
build/compare_tests.ps1,.ps1,build_or_runner_script,1695,34,uxm/scripts/compare_tests.ps1,MOVE_SCRIPT
build/dbg.txt,.txt,build_artifact_or_log,277,10,uxm/build/logs/archive/dbg.txt,MOVE_ARTIFACT
build/dbg2.txt,.txt,build_artifact_or_log,251,10,uxm/build/logs/archive/dbg2.txt,MOVE_ARTIFACT
build/dbg4.txt,.txt,build_artifact_or_log,303,11,uxm/build/logs/archive/dbg4.txt,MOVE_ARTIFACT
build/dbg_t2.txt,.txt,build_artifact_or_log,265,10,uxm/build/logs/archive/dbg_t2.txt,MOVE_ARTIFACT
build/dbg_t3.txt,.txt,build_artifact_or_log,267,10,uxm/build/logs/archive/dbg_t3.txt,MOVE_ARTIFACT
build/fbc_final_err.txt,.txt,build_artifact_or_log,1917,12,uxm/build/logs/archive/fbc_final_err.txt,MOVE_ARTIFACT
build/final_compile_err.txt,.txt,build_artifact_or_log,2635,12,uxm/build/logs/archive/final_compile_err.txt,MOVE_ARTIFACT
build/out42.txt,.txt,build_artifact_or_log,263,8,uxm/build/logs/archive/out42.txt,MOVE_ARTIFACT
build/out42_after_phase2.txt,.txt,build_artifact_or_log,263,8,uxm/build/logs/archive/out42_after_phase2.txt,MOVE_ARTIFACT
build/out43.txt,.txt,build_artifact_or_log,262,8,uxm/build/logs/archive/out43.txt,MOVE_ARTIFACT
build/out43_after_phase2.txt,.txt,build_artifact_or_log,262,8,uxm/build/logs/archive/out43_after_phase2.txt,MOVE_ARTIFACT
build/out44_meta_version_info.txt,.txt,build_artifact_or_log,267,8,uxm/build/logs/archive/out44_meta_version_info.txt,MOVE_ARTIFACT
build/out45_pointer_meta_extended.txt,.txt,build_artifact_or_log,267,8,uxm/build/logs/archive/out45_pointer_meta_extended.txt,MOVE_ARTIFACT
build/out46_fifo_clear.txt,.txt,build_artifact_or_log,245,9,uxm/build/logs/archive/out46_fifo_clear.txt,MOVE_ARTIFACT
build/out47_tape_sort_ascending.txt,.txt,build_artifact_or_log,262,8,uxm/build/logs/archive/out47_tape_sort_ascending.txt,MOVE_ARTIFACT
build/out48_data_sort_descending.txt,.txt,build_artifact_or_log,264,8,uxm/build/logs/archive/out48_data_sort_descending.txt,MOVE_ARTIFACT
build/out49_data_linear_search.txt,.txt,build_artifact_or_log,258,8,uxm/build/logs/archive/out49_data_linear_search.txt,MOVE_ARTIFACT
build/out50_tape_block_copy_clear.txt,.txt,build_artifact_or_log,269,9,uxm/build/logs/archive/out50_tape_block_copy_clear.txt,MOVE_ARTIFACT
build/program.asm,.asm,build_artifact_or_log,21282,,uxm/build/asm/archive/program.asm,MOVE_ARTIFACT
build/program.obj,.obj,build_artifact_or_log,8490,,uxm/build/obj/archive/program.obj,MOVE_ARTIFACT
build/release_notes_auto.md,.md,old_information_document,903,23,uxm/legacy/docs_old/build/release_notes_auto.md,MOVE_LEGACY_DOC
build/run_tests_after_phase2_step1.txt,.txt,build_artifact_or_log,20396,646,uxm/build/logs/archive/run_tests_after_phase2_step1.txt,MOVE_ARTIFACT
build/run_tests_after_phase2_step2.txt,.txt,build_artifact_or_log,20795,658,uxm/build/logs/archive/run_tests_after_phase2_step2.txt,MOVE_ARTIFACT
build/run_tests_after_phase2_step3.txt,.txt,build_artifact_or_log,22736,720,uxm/build/logs/archive/run_tests_after_phase2_step3.txt,MOVE_ARTIFACT
build/run_tests_after_sprint1.txt,.txt,build_artifact_or_log,20001,634,uxm/build/logs/archive/run_tests_after_sprint1.txt,MOVE_ARTIFACT
build/test01.asm,.asm,build_artifact_or_log,4012,,uxm/build/asm/archive/test01.asm,MOVE_ARTIFACT
build/test01.obj,.obj,build_artifact_or_log,1845,,uxm/build/obj/archive/test01.obj,MOVE_ARTIFACT
build/test01_print_A.asm,.asm,build_artifact_or_log,4730,,uxm/build/asm/archive/test01_print_A.asm,MOVE_ARTIFACT
build/test01_print_A.o,.o,build_artifact_or_log,2264,,uxm/build/obj/archive/test01_print_A.o,MOVE_ARTIFACT
build/test01_print_A.obj,.obj,build_artifact_or_log,1845,,uxm/build/obj/archive/test01_print_A.obj,MOVE_ARTIFACT
build/test02_string.asm,.asm,build_artifact_or_log,4210,,uxm/build/asm/archive/test02_string.asm,MOVE_ARTIFACT
build/test02_string.o,.o,build_artifact_or_log,2139,,uxm/build/obj/archive/test02_string.o,MOVE_ARTIFACT
build/test03_addressing.asm,.asm,build_artifact_or_log,5208,,uxm/build/asm/archive/test03_addressing.asm,MOVE_ARTIFACT
build/test03_addressing.o,.o,build_artifact_or_log,2329,,uxm/build/obj/archive/test03_addressing.o,MOVE_ARTIFACT
build/test04_stack_lifo.asm,.asm,build_artifact_or_log,5965,,uxm/build/asm/archive/test04_stack_lifo.asm,MOVE_ARTIFACT
build/test04_stack_lifo.o,.o,build_artifact_or_log,2595,,uxm/build/obj/archive/test04_stack_lifo.o,MOVE_ARTIFACT
build/test05_meta_add.asm,.asm,build_artifact_or_log,5685,,uxm/build/asm/archive/test05_meta_add.asm,MOVE_ARTIFACT
build/test05_meta_add.o,.o,build_artifact_or_log,2585,,uxm/build/obj/archive/test05_meta_add.o,MOVE_ARTIFACT
build/test06_dynamic_meta_mul.asm,.asm,build_artifact_or_log,6442,,uxm/build/asm/archive/test06_dynamic_meta_mul.asm,MOVE_ARTIFACT
build/test06_dynamic_meta_mul.o,.o,build_artifact_or_log,2851,,uxm/build/obj/archive/test06_dynamic_meta_mul.o,MOVE_ARTIFACT
build/test07_macro.asm,.asm,build_artifact_or_log,4058,,uxm/build/asm/archive/test07_macro.asm,MOVE_ARTIFACT
build/test07_macro.o,.o,build_artifact_or_log,1971,,uxm/build/obj/archive/test07_macro.o,MOVE_ARTIFACT
build/test08_newline.asm,.asm,build_artifact_or_log,5050,,uxm/build/asm/archive/test08_newline.asm,MOVE_ARTIFACT
build/test08_newline.o,.o,build_artifact_or_log,2396,,uxm/build/obj/archive/test08_newline.o,MOVE_ARTIFACT
build/test09_div_mod.asm,.asm,build_artifact_or_log,6254,,uxm/build/asm/archive/test09_div_mod.asm,MOVE_ARTIFACT
build/test09_div_mod.o,.o,build_artifact_or_log,2900,,uxm/build/obj/archive/test09_div_mod.o,MOVE_ARTIFACT
build/test10_sin_scaled.asm,.asm,build_artifact_or_log,4730,,uxm/build/asm/archive/test10_sin_scaled.asm,MOVE_ARTIFACT
build/test10_sin_scaled.o,.o,build_artifact_or_log,2264,,uxm/build/obj/archive/test10_sin_scaled.o,MOVE_ARTIFACT
build/test11_hypotenuse.asm,.asm,build_artifact_or_log,5681,,uxm/build/asm/archive/test11_hypotenuse.asm,MOVE_ARTIFACT
build/test11_hypotenuse.o,.o,build_artifact_or_log,2585,,uxm/build/obj/archive/test11_hypotenuse.o,MOVE_ARTIFACT
build/test12_signed_mode.asm,.asm,build_artifact_or_log,5878,,uxm/build/asm/archive/test12_signed_mode.asm,MOVE_ARTIFACT
build/test12_signed_mode.o,.o,build_artifact_or_log,2692,,uxm/build/obj/archive/test12_signed_mode.o,MOVE_ARTIFACT
build/test13_status_div_zero.asm,.asm,build_artifact_or_log,5469,,uxm/build/asm/archive/test13_status_div_zero.asm,MOVE_ARTIFACT
build/test13_status_div_zero.o,.o,build_artifact_or_log,2551,,uxm/build/obj/archive/test13_status_div_zero.o,MOVE_ARTIFACT
build/test14_branch_current_zero.asm,.asm,build_artifact_or_log,5304,,uxm/build/asm/archive/test14_branch_current_zero.asm,MOVE_ARTIFACT
build/test14_branch_current_zero.o,.o,build_artifact_or_log,2425,,uxm/build/obj/archive/test14_branch_current_zero.o,MOVE_ARTIFACT
build/test15_branch_nonzero.asm,.asm,build_artifact_or_log,5688,,uxm/build/asm/archive/test15_branch_nonzero.asm,MOVE_ARTIFACT
build/test15_branch_nonzero.o,.o,build_artifact_or_log,2560,,uxm/build/obj/archive/test15_branch_nonzero.o,MOVE_ARTIFACT
build/test16_data_digit.asm,.asm,build_artifact_or_log,4971,,uxm/build/asm/archive/test16_data_digit.asm,MOVE_ARTIFACT
build/test16_data_digit.o,.o,build_artifact_or_log,2366,,uxm/build/obj/archive/test16_data_digit.o,MOVE_ARTIFACT
build/test17_endian_word_split.asm,.asm,build_artifact_or_log,4725,,uxm/build/asm/archive/test17_endian_word_split.asm,MOVE_ARTIFACT
build/test17_endian_word_split.o,.o,build_artifact_or_log,2218,,uxm/build/obj/archive/test17_endian_word_split.o,MOVE_ARTIFACT
build/test18_pointer_service.asm,.asm,build_artifact_or_log,5342,,uxm/build/asm/archive/test18_pointer_service.asm,MOVE_ARTIFACT
build/test18_pointer_service.o,.o,build_artifact_or_log,2463,,uxm/build/obj/archive/test18_pointer_service.o,MOVE_ARTIFACT
build/test20_fifo_char_order.asm,.asm,build_artifact_or_log,6435,,uxm/build/asm/archive/test20_fifo_char_order.asm,MOVE_ARTIFACT
